SC,Nl,AIF,RW,C,r,theta,Economic_Impact,Environmental_Impact,Social_Impact,EQ0,EQ1,EQ2,EQ3,EQ4,F0,F1,F2,F3,F4,I0,I1,I2,I3
4,180,200143.566854786,2600.065738391792,2,0.09555371898258025,0.8501945487875702,440140075.32585764,596471.8168243731,0.7703090895759928,0,1,1,0,1,0.47604499936095795,0.0,0.21901418802480663,0.08925637145642612,0.2156844411578093,0,0,0,0
1,58,42268.48422930746,2649.3331888401135,1,0.45360310586710084,0.6477663553402251,73291341.9858261,335918.32741357316,0.9981822468672646,1,1,1,1,1,0.5986702644313223,0.00987913555996444,0.0,0.1122480764922018,0.2792025235165115,0,0,0,0
1,33,51276.440736778284,2643.997663654375,2,0.27910044830960024,0.2218354022792123,96616110.74754986,407506.8345147039,0.9308739884724616,1,1,1,1,0,0.5943005118711487,0.0,0.40569948812885126,0.0,0.0,0,1,1,0
1,56,54988.115166281845,2643.997663654375,2,0.09555371898258025,0.39324218411329726,78062559.6819906,437004.44932148384,0.9990558066542798,1,1,1,1,1,0.7066446506641325,0.009748601526487221,0.0,0.07126875748991604,0.21233799031946415,0,0,0,0
1,49,45030.414809454494,2619.1245635890045,4,0.49022197571952764,0.699854762262329,74829113.05859981,357868.08780436806,0.9888250398635694,1,1,1,1,1,0.6055667829083753,0.0,0.03991070538172934,0.21711559713415146,0.13740691457574397,0,1,0,0
